id,question,reference_answer,student_answer,human_score
S001,What is the purpose of a stack data structure?,A stack stores elements in last in first out order using push and pop operations.,A stack keeps elements in last in first out order using push and pop.,5.0
S002,What is the purpose of a stack data structure?,A stack stores elements in last in first out order using push and pop operations.,It stores items and you push and pop them in last in first out order.,5.0
S003,What is the purpose of a stack data structure?,A stack stores elements in last in first out order using push and pop operations.,A stack uses push and pop to add and remove elements from the top.,4.0
S004,What is the purpose of a stack data structure?,A stack stores elements in last in first out order using push and pop operations.,It stores elements and removes the most recent one first.,2.5
S005,What is the purpose of a stack data structure?,A stack stores elements in last in first out order using push and pop operations.,A stack holds data you can push onto.,1.5
S006,What is the purpose of a stack data structure?,A stack stores elements in last in first out order using push and pop operations.,It is a kind of list.,1.5
S007,What is the purpose of a stack data structure?,A stack stores elements in last in first out order using push and pop operations.,It sorts numbers from low to high.,0.0
S008,Why do we use indexing in a database?,An index speeds up data retrieval by letting the database find rows without scanning the whole table.,An index speeds up retrieval so the database finds rows without scanning the whole table.,5.0
S009,Why do we use indexing in a database?,An index speeds up data retrieval by letting the database find rows without scanning the whole table.,Indexing lets the database locate rows faster instead of scanning every row.,5.0
S010,Why do we use indexing in a database?,An index speeds up data retrieval by letting the database find rows without scanning the whole table.,It makes queries faster by helping the database find data quickly.,3.5
S011,Why do we use indexing in a database?,An index speeds up data retrieval by letting the database find rows without scanning the whole table.,Indexes help you search the database more quickly.,3.5
S012,Why do we use indexing in a database?,An index speeds up data retrieval by letting the database find rows without scanning the whole table.,It organizes the database.,2.0
S013,Why do we use indexing in a database?,An index speeds up data retrieval by letting the database find rows without scanning the whole table.,So the data looks nicer.,0.0
S014,Why do we use indexing in a database?,An index speeds up data retrieval by letting the database find rows without scanning the whole table.,It deletes duplicate rows.,0.5
S015,What does recursion mean in programming?,Recursion is when a function calls itself to solve smaller instances of the same problem until a base case stops it.,Recursion is when a function calls itself on smaller instances until a base case stops it.,5.0
S016,What does recursion mean in programming?,Recursion is when a function calls itself to solve smaller instances of the same problem until a base case stops it.,A function that calls itself to solve smaller versions of the problem with a base case.,5.0
S017,What does recursion mean in programming?,Recursion is when a function calls itself to solve smaller instances of the same problem until a base case stops it.,It is when a function calls itself repeatedly to break a problem down.,3.5
S018,What does recursion mean in programming?,Recursion is when a function calls itself to solve smaller instances of the same problem until a base case stops it.,A function calling itself.,3.0
S019,What does recursion mean in programming?,Recursion is when a function calls itself to solve smaller instances of the same problem until a base case stops it.,Looping over data many times.,0.5
S020,What does recursion mean in programming?,Recursion is when a function calls itself to solve smaller instances of the same problem until a base case stops it.,Recursion means the program crashes.,0.5
S021,What does recursion mean in programming?,Recursion is when a function calls itself to solve smaller instances of the same problem until a base case stops it.,It is a way functions repeat smaller problems.,3.0
S022,What is the role of a compiler?,A compiler translates source code written in a high level language into machine code the computer can run.,A compiler translates high level source code into machine code the computer can run.,4.5
S023,What is the role of a compiler?,A compiler translates source code written in a high level language into machine code the computer can run.,It converts source code in a high level language into machine code.,5.0
S024,What is the role of a compiler?,A compiler translates source code written in a high level language into machine code the computer can run.,A compiler turns your written code into something the machine executes.,3.5
S025,What is the role of a compiler?,A compiler translates source code written in a high level language into machine code the computer can run.,It changes code into machine code.,3.0
S026,What is the role of a compiler?,A compiler translates source code written in a high level language into machine code the computer can run.,It checks your code for errors.,2.5
S027,What is the role of a compiler?,A compiler translates source code written in a high level language into machine code the computer can run.,A compiler runs the program.,0.5
S028,What is the role of a compiler?,A compiler translates source code written in a high level language into machine code the computer can run.,It stores files on disk.,0.5
S029,What is the difference between RAM and a hard drive?,"RAM is fast volatile memory used while programs run, while a hard drive is slower nonvolatile storage that keeps data after power off.",RAM is fast volatile memory used while programs run; a hard drive is slower nonvolatile storage that keeps data after power off.,5.0
S030,What is the difference between RAM and a hard drive?,"RAM is fast volatile memory used while programs run, while a hard drive is slower nonvolatile storage that keeps data after power off.",RAM is temporary fast memory; a hard drive stores data permanently even without power.,5.0
S031,What is the difference between RAM and a hard drive?,"RAM is fast volatile memory used while programs run, while a hard drive is slower nonvolatile storage that keeps data after power off.","RAM is used while running programs and is fast, the hard drive stores things long term.",3.5
S032,What is the difference between RAM and a hard drive?,"RAM is fast volatile memory used while programs run, while a hard drive is slower nonvolatile storage that keeps data after power off.",RAM is memory and a hard drive stores files.,3.0
S033,What is the difference between RAM and a hard drive?,"RAM is fast volatile memory used while programs run, while a hard drive is slower nonvolatile storage that keeps data after power off.",One is faster than the other.,0.5
S034,What is the difference between RAM and a hard drive?,"RAM is fast volatile memory used while programs run, while a hard drive is slower nonvolatile storage that keeps data after power off.",They are both the CPU.,0.5
S035,What is the difference between RAM and a hard drive?,"RAM is fast volatile memory used while programs run, while a hard drive is slower nonvolatile storage that keeps data after power off.","RAM holds running data, disk keeps it after shutdown.",4.0
